label,name,franchise_group
bhakwini_ecdc,Bhakwini ECDC,SS Franchisee Group 1 (2023)
bumbana_ecdc,Bumbana ECDC,SS Franchisee Group 1 (2023)
ekukhanyeni_ecdc,Ekukhanyeni ECDC,SS Franchisee Group 1 (2023)
emavaleleni_ecdc,Emavaleleni ECDC,SS Franchisee Group 1 (2023)
flag_yamabonvana,Flag YaMabonvana,SS Franchisee Group 1 (2023)
gusi_ecdc,Gusi ECDC,SS Franchisee Group 1 (2023)
hlathikulu_ecd,Hlathikulu ECD,SS Franchisee Group 1 (2023)
kuyasa_ecdc,Kuyasa ECDC,SS Franchisee Group 1 (2023)
makhaula_ecdc,Makhaula ECDC,SS Franchisee Group 1 (2023)
makuhlume_ecdc,Makuhlume ECDC,SS Franchisee Group 1 (2023)
masonwabe_ecdc,Masonwabe ECDC,SS Franchisee Group 1 (2023)
melitafe_ecdc,Melitafe ECDC,SS Franchisee Group 1 (2023)
mwana_ecdc,Mwana ECDC ,SS Franchisee Group 1 (2023)
ncihana_community_ecdc,Ncihana Community ECDC,SS Franchisee Group 1 (2023)
ngangathile_ecdc,Ngangathile ECDC,SS Franchisee Group 1 (2023)
nkomozibomvu_ecdc,Nkomozibomvu ECDC,SS Franchisee Group 1 (2023)
nomfundo_ecdc,Nomfundo ECDC,SS Franchisee Group 1 (2023)
phongoma_ecdc,Phongoma ECDC,SS Franchisee Group 1 (2023)
shine_bright_ecdc,Shine Bright ECDC,SS Franchisee Group 1 (2023)
sikhulakunye_ecdc,Sikhulakunye ECDC,SS Franchisee Group 1 (2023)
sinethemba_ecdc,Sinethemba ECDC,SS Franchisee Group 1 (2023)
tongana_ecdc,Tongana ECDC,SS Franchisee Group 1 (2023)
vuyisile_ecdc,Vuyisile ECDC,SS Franchisee Group 1 (2023)
no_name,The name does not appear on this list,
bhakwini_ecdc,Bhakwini ECDC,SS Franchisee Group 2 (Feb 2024)
bhotwe_ecdc,Bhotwe ECDC,SS Franchisee Group 2 (Feb 2024)
bumbane,Bumbane,SS Franchisee Group 2 (Feb 2024)
bunene_ecdc,Bunene ECDC,SS Franchisee Group 2 (Feb 2024)
fameni_ecdc,Fameni ECDC,SS Franchisee Group 2 (Feb 2024)
hillview_ecdc,Hillview ECDC,SS Franchisee Group 2 (Feb 2024)
kwelomthombe_ecdc,KweloMthombe ECDC,SS Franchisee Group 2 (Feb 2024)
lingomso_ecdc,Lingomso ECDC,SS Franchisee Group 2 (Feb 2024)
luxolo_ecdc,Luxolo ECDC ,SS Franchisee Group 2 (Feb 2024)
majola_ecdc,Majola ECDC,SS Franchisee Group 2 (Feb 2024)
manzezulu_ecdc,Manzezulu ECDC,SS Franchisee Group 2 (Feb 2024)
masikhule,Masikhule,SS Franchisee Group 2 (Feb 2024)
masikhulisane,Masikhulisane,SS Franchisee Group 2 (Feb 2024)
matshamba,Matshamba,SS Franchisee Group 2 (Feb 2024)
melithafa,Melithafa,SS Franchisee Group 2 (Feb 2024)
mpondombini,Mpondombini,SS Franchisee Group 2 (Feb 2024)
mwana_ecdc,Mwana ECDC,SS Franchisee Group 2 (Feb 2024)
